Marker coordinates: x=364, y=195
Marker coordinates: x=394, y=212
Marker coordinates: x=394, y=212
Marker coordinates: x=367, y=223
Marker coordinates: x=367, y=223
Marker coordinates: x=416, y=226
Marker coordinates: x=416, y=226
Marker coordinates: x=448, y=210
Marker coordinates: x=403, y=234
Marker coordinates: x=403, y=234
Marker coordinates: x=382, y=235
Marker coordinates: x=382, y=235
Marker coordinates: x=412, y=228
Marker coordinates: x=412, y=228
Marker coordinates: x=411, y=215
Marker coordinates: x=393, y=233
Marker coordinates: x=393, y=233
Marker coordinates: x=377, y=233
Marker coordinates: x=377, y=233
Marker coordinates: x=442, y=211
Marker coordinates: x=442, y=211
Marker coordinates: x=394, y=234
Marker coordinates: x=394, y=234
Marker coordinates: x=416, y=204
Marker coordinates: x=378, y=237
Marker coordinates: x=378, y=237
Marker coordinates: x=397, y=232
Marker coordinates: x=397, y=232
Marker coordinates: x=359, y=242
Marker coordinates: x=359, y=242
Marker coordinates: x=387, y=235
Marker coordinates: x=392, y=232
Marker coordinates: x=373, y=232
Marker coordinates: x=373, y=232
Marker coordinates: x=361, y=286
Marker coordinates: x=361, y=286
Marker coordinates: x=410, y=298
Marker coordinates: x=410, y=298
Marker coordinates: x=450, y=273
Marker coordinates: x=450, y=273
Marker coordinates: x=369, y=255
Marker coordinates: x=403, y=258
Marker coordinates: x=403, y=258
Marker coordinates: x=373, y=265
Marker coordinates: x=373, y=265
Marker coordinates: x=383, y=259
Marker coordinates: x=383, y=259
Marker coordinates: x=412, y=259
Marker coordinates: x=384, y=203
Marker coordinates: x=384, y=203
Marker coordinates: x=408, y=251
Marker coordinates: x=408, y=251
Marker coordinates: x=397, y=285
Marker coordinates: x=397, y=285
Marker coordinates: x=406, y=229
Marker coordinates: x=406, y=229
Marker coordinates: x=399, y=221
Marker coordinates: x=357, y=267
Marker coordinates: x=357, y=267
Marker coordinates: x=357, y=240
Marker coordinates: x=357, y=240
Marker coordinates: x=365, y=221
Marker coordinates: x=365, y=221
Marker coordinates: x=413, y=251
Marker coordinates: x=413, y=251
Marker coordinates: x=438, y=282
Marker coordinates: x=438, y=282
Marker coordinates: x=430, y=271
Marker coordinates: x=406, y=279
Marker coordinates: x=406, y=279
Marker coordinates: x=389, y=273
Marker coordinates: x=389, y=273
Marker coordinates: x=450, y=273
Marker coordinates: x=450, y=273
Marker coordinates: x=422, y=291
Marker coordinates: x=422, y=291
Marker coordinates: x=431, y=291
Marker coordinates: x=441, y=302
Marker coordinates: x=441, y=302
Marker coordinates: x=426, y=272
Marker coordinates: x=426, y=272
Marker coordinates: x=380, y=247
Marker coordinates: x=380, y=247
Marker coordinates: x=452, y=294
Marker coordinates: x=437, y=252
Marker coordinates: x=437, y=252
Marker coordinates: x=410, y=249
Marker coordinates: x=410, y=249
Marker coordinates: x=424, y=238
Marker coordinates: x=424, y=238
Marker coordinates: x=424, y=229
Marker coordinates: x=424, y=229
Marker coordinates: x=388, y=224
Marker coordinates: x=392, y=239
Marker coordinates: x=392, y=239
Marker coordinates: x=399, y=238
Marker coordinates: x=399, y=238
Marker coordinates: x=410, y=217
Marker coordinates: x=410, y=217
Marker coordinates: x=403, y=242
Marker coordinates: x=403, y=242
Marker coordinates: x=392, y=239
Marker coordinates: x=392, y=239
Marker coordinates: x=399, y=219
Marker coordinates: x=429, y=240
Marker coordinates: x=429, y=240
Marker coordinates: x=420, y=223
Marker coordinates: x=420, y=223
Marker coordinates: x=414, y=217
Marker coordinates: x=414, y=217
Marker coordinates: x=393, y=247
Marker coordinates: x=352, y=223
Marker coordinates: x=352, y=223
Marker coordinates: x=360, y=220
Marker coordinates: x=242, y=220
Marker coordinates: x=233, y=195
Marker coordinates: x=213, y=225
Marker coordinates: x=213, y=225
Marker coordinates: x=250, y=275
Marker coordinates: x=250, y=275
Marker coordinates: x=237, y=244
Marker coordinates: x=237, y=244
Marker coordinates: x=249, y=224
Marker coordinates: x=249, y=224
Marker coordinates: x=216, y=254
Marker coordinates: x=216, y=254
Marker coordinates: x=233, y=244
Marker coordinates: x=184, y=280
Marker coordinates: x=184, y=280
Marker coordinates: x=195, y=269
Marker coordinates: x=195, y=269
Marker coordinates: x=228, y=238
Marker coordinates: x=228, y=238
Marker coordinates: x=249, y=254
Marker coordinates: x=249, y=254
Marker coordinates: x=241, y=251
Marker coordinates: x=241, y=251
Marker coordinates: x=227, y=247
Marker coordinates: x=186, y=269
Marker coordinates: x=186, y=269
Marker coordinates: x=199, y=242
Marker coordinates: x=199, y=242
Marker coordinates: x=204, y=268
Marker coordinates: x=204, y=268
Marker coordinates: x=261, y=221
Marker coordinates: x=222, y=231
Marker coordinates: x=222, y=231
Marker coordinates: x=294, y=237
Marker coordinates: x=294, y=237
Marker coordinates: x=300, y=216
Marker coordinates: x=300, y=216
Marker coordinates: x=290, y=249
Marker coordinates: x=353, y=228
Marker coordinates: x=353, y=228
Marker coordinates: x=430, y=233
Marker coordinates: x=430, y=233
Marker coordinates: x=431, y=205
Marker coordinates: x=431, y=205
Marker coordinates: x=387, y=194
Marker coordinates: x=387, y=194
Marker coordinates: x=445, y=227
Marker coordinates: x=445, y=227
Marker coordinates: x=408, y=144
Marker coordinates: x=391, y=145
Marker coordinates: x=391, y=145
Marker coordinates: x=438, y=164
Marker coordinates: x=438, y=164
Marker coordinates: x=361, y=112
Marker coordinates: x=361, y=112
Marker coordinates: x=294, y=129
Marker coordinates: x=294, y=129
Marker coordinates: x=330, y=137
Marker coordinates: x=329, y=134
Marker coordinates: x=329, y=134
Marker coordinates: x=333, y=129
Marker coordinates: x=333, y=129
Marker coordinates: x=326, y=164
Marker coordinates: x=326, y=164
Marker coordinates: x=268, y=188
Marker coordinates: x=275, y=181
Marker coordinates: x=275, y=181
Marker coordinates: x=284, y=238
Marker coordinates: x=284, y=238
Marker coordinates: x=294, y=191
Marker coordinates: x=294, y=191
Marker coordinates: x=312, y=206
Marker coordinates: x=312, y=206
Marker coordinates: x=307, y=199
Marker coordinates: x=298, y=149
Marker coordinates: x=298, y=149
Marker coordinates: x=275, y=158
Marker coordinates: x=275, y=158
Marker coordinates: x=320, y=152
Marker coordinates: x=320, y=152
Marker coordinates: x=252, y=151
Marker coordinates: x=252, y=151
Marker coordinates: x=255, y=196
Marker coordinates: x=255, y=196
Marker coordinates: x=250, y=181
Marker coordinates: x=246, y=155
Marker coordinates: x=246, y=155
Marker coordinates: x=233, y=181
Marker coordinates: x=233, y=181
Marker coordinates: x=245, y=305
Marker coordinates: x=245, y=305
Marker coordinates: x=292, y=304
Marker coordinates: x=292, y=304
Marker coordinates: x=222, y=251
Marker coordinates: x=273, y=194
Marker coordinates: x=273, y=194
Marker coordinates: x=298, y=202
Marker coordinates: x=298, y=202
Marker coordinates: x=277, y=97
Marker coordinates: x=277, y=97
Marker coordinates: x=209, y=256
Marker coordinates: x=282, y=127
Marker coordinates: x=282, y=127
Marker coordinates: x=212, y=186
Marker coordinates: x=212, y=186
Marker coordinates: x=247, y=174
Marker coordinates: x=247, y=174
Marker coordinates: x=235, y=209
Marker coordinates: x=235, y=209
Marker coordinates: x=200, y=239
Marker coordinates: x=176, y=247
Marker coordinates: x=176, y=247
Marker coordinates: x=244, y=253
Marker coordinates: x=244, y=253
Marker coordinates: x=244, y=217
Marker coordinates: x=244, y=217
Marker coordinates: x=297, y=279
Marker coordinates: x=297, y=279
Marker coordinates: x=363, y=235
Marker coordinates: x=363, y=235
Marker coordinates: x=403, y=173
Marker coordinates: x=313, y=207
Marker coordinates: x=313, y=207
Marker coordinates: x=281, y=215
Marker coordinates: x=281, y=215
Marker coordinates: x=142, y=196
Marker coordinates: x=142, y=196
Marker coordinates: x=98, y=192
Marker coordinates: x=98, y=192
Marker coordinates: x=309, y=344
Marker coordinates: x=309, y=344
Marker coordinates: x=462, y=139
Marker coordinates: x=462, y=139
Marker coordinates: x=465, y=161
Marker coordinates: x=465, y=161
Marker coordinates: x=586, y=308
Marker coordinates: x=586, y=308
Marker coordinates: x=323, y=209
Marker coordinates: x=323, y=209
Marker coordinates: x=547, y=268
Marker coordinates: x=551, y=255
Marker coordinates: x=551, y=255
Marker coordinates: x=541, y=291
Marker coordinates: x=541, y=291
Marker coordinates: x=433, y=315
Marker coordinates: x=433, y=315
Marker coordinates: x=529, y=284
Marker coordinates: x=484, y=290
Marker coordinates: x=484, y=290
Marker coordinates: x=489, y=256
Marker coordinates: x=489, y=256
Marker coordinates: x=512, y=259
Marker coordinates: x=512, y=259
Marker coordinates: x=479, y=243
Marker coordinates: x=450, y=221
Marker coordinates: x=450, y=221
Marker coordinates: x=488, y=260
Marker coordinates: x=488, y=260
Marker coordinates: x=438, y=214
Marker coordinates: x=438, y=214
Marker coordinates: x=383, y=189
Marker coordinates: x=383, y=189
Marker coordinates: x=341, y=207
Marker coordinates: x=341, y=207
Marker coordinates: x=402, y=237
Marker coordinates: x=324, y=168
Marker coordinates: x=324, y=168
Marker coordinates: x=230, y=163
Marker coordinates: x=230, y=163
Marker coordinates: x=410, y=263
Marker coordinates: x=410, y=263
Marker coordinates: x=510, y=279
Marker coordinates: x=510, y=279
Marker coordinates: x=504, y=272
Marker coordinates: x=504, y=272
Marker coordinates: x=533, y=297
Marker coordinates: x=487, y=259
Marker coordinates: x=487, y=259
Marker coordinates: x=424, y=282
Marker coordinates: x=424, y=282
Marker coordinates: x=481, y=238
Marker coordinates: x=481, y=238
Marker coordinates: x=407, y=258
Marker coordinates: x=470, y=156
Marker coordinates: x=470, y=156
Marker coordinates: x=434, y=179
Marker coordinates: x=434, y=179
Marker coordinates: x=371, y=181
Marker coordinates: x=371, y=181
Marker coordinates: x=403, y=139
Marker coordinates: x=352, y=124
Marker coordinates: x=352, y=124
Marker coordinates: x=426, y=158
Marker coordinates: x=426, y=158
Marker coordinates: x=337, y=132
Marker coordinates: x=337, y=132
Marker coordinates: x=280, y=106
Marker coordinates: x=280, y=106
Marker coordinates: x=316, y=121
Marker coordinates: x=316, y=121
Marker coordinates: x=278, y=228
Marker coordinates: x=340, y=198
Marker coordinates: x=340, y=198
Marker coordinates: x=325, y=206
Marker coordinates: x=325, y=206
Marker coordinates: x=253, y=133
Marker coordinates: x=253, y=133
Marker coordinates: x=192, y=158
Marker coordinates: x=192, y=158
Marker coordinates: x=189, y=245
Marker coordinates: x=189, y=245
Marker coordinates: x=251, y=252
Marker coordinates: x=384, y=167
Marker coordinates: x=384, y=167
Marker coordinates: x=390, y=185
Marker coordinates: x=390, y=185
Marker coordinates: x=312, y=157
Marker coordinates: x=312, y=157
Marker coordinates: x=339, y=212
Marker coordinates: x=298, y=201
Marker coordinates: x=298, y=201
Marker coordinates: x=355, y=208
Marker coordinates: x=355, y=208
Marker coordinates: x=317, y=199
Marker coordinates: x=317, y=199
Marker coordinates: x=421, y=156
Marker coordinates: x=582, y=98
Marker coordinates: x=582, y=98
Marker coordinates: x=265, y=287
Marker coordinates: x=265, y=287
Marker coordinates: x=347, y=317
Marker coordinates: x=347, y=317
Marker coordinates: x=330, y=340
Marker coordinates: x=319, y=346
Marker coordinates: x=319, y=346
Marker coordinates: x=336, y=331
Marker coordinates: x=336, y=331
Marker coordinates: x=344, y=336
Marker coordinates: x=344, y=336
Marker coordinates: x=267, y=339
Marker coordinates: x=267, y=339
Marker coordinates: x=320, y=329
Marker coordinates: x=331, y=329
Marker coordinates: x=331, y=329
Marker coordinates: x=238, y=348
Marker coordinates: x=238, y=348
Marker coordinates: x=314, y=357
Marker coordinates: x=314, y=357
Marker coordinates: x=262, y=352
Marker coordinates: x=281, y=345
Marker coordinates: x=281, y=345
Marker coordinates: x=266, y=336
Marker coordinates: x=266, y=336
Marker coordinates: x=323, y=307
Marker coordinates: x=323, y=307
Marker coordinates: x=319, y=295
Marker coordinates: x=333, y=314
Marker coordinates: x=333, y=314
Marker coordinates: x=225, y=260
Marker coordinates: x=225, y=260
Marker coordinates: x=280, y=291
Marker coordinates: x=280, y=291
Marker coordinates: x=300, y=289
Marker coordinates: x=300, y=289
